primary_vote_2016,dem_primary_vote_2016,rep_primary_vote_2016,state,pres_vote_2016,birth_year,income_group,pres_vote_2012,age,income
"No, not in either",NA,NA,Pennsylvania,NA,1950,Prefer not to say,Barack Obama,66,NA
In the Democratic primary,Hillary Clinton,NA,Illinois,Hillary Clinton,1950,"$50,000 - $59,999",Barack Obama,66,50000
In the Republican primary,NA,Ted Cruz,Pennsylvania,Donald Trump,1963,"$30,000 - $39,999",NA,53,30000
"No, not in either",NA,NA,Colorado,Jill Stein,1972,"$70,000 - $79,999",Barack Obama,44,70000
In the Democratic primary,Bernie Sanders,NA,New Jersey,Gary Johnson,1976,"$150,000 or more",Barack Obama,40,150000
In the Democratic primary,Someone else,NA,Illinois,Hillary Clinton,1937,"$20,000 - $29,999",Barack Obama,79,20000
In the Democratic primary,Bernie Sanders,NA,Illinois,Hillary Clinton,1981,Prefer not to say,Barack Obama,35,NA
"No, not in either",NA,NA,Ohio,Hillary Clinton,1952,"$10,000 - $19,999",Barack Obama,64,10000
In the Republican primary,NA,Donald Trump,Nebraska,Donald Trump,1954,"$80,000 - $99,999",Mitt Romney,62,80000
"No, not in either",NA,NA,Minnesota,Hillary Clinton,1967,"$120,000 - $149,999",Barack Obama,49,120000
In the Democratic primary,Hillary Clinton,NA,Ohio,Hillary Clinton,1956,"$60,000 - $69,999",Barack Obama,60,60000
In the Democratic primary,Bernie Sanders,NA,Pennsylvania,Hillary Clinton,1957,Prefer not to say,Barack Obama,59,NA
"No, not in either",NA,NA,New York,Donald Trump,1978,"$80,000 - $99,999",Mitt Romney,38,80000
In the Democratic primary,Hillary Clinton,NA,Massachusetts,Hillary Clinton,1969,"$150,000 or more",Barack Obama,47,150000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1970,"$60,000 - $69,999",Barack Obama,46,60000
"No, not in either",NA,NA,New York,Hillary Clinton,1957,"$60,000 - $69,999",Barack Obama,59,60000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1959,"$120,000 - $149,999",Barack Obama,57,120000
In the Republican primary,NA,Ted Cruz,South Dakota,Donald Trump,1971,"$80,000 - $99,999",Mitt Romney,45,80000
"No, not in either",NA,NA,Kansas,Jill Stein,1964,"$60,000 - $69,999",Barack Obama,52,60000
"No, not in either",NA,NA,North Carolina,Hillary Clinton,1971,"$120,000 - $149,999",NA,45,120000
In the Republican primary,NA,John Kasich,Pennsylvania,Donald Trump,1961,"$150,000 or more",Mitt Romney,55,150000
In the Democratic primary,Bernie Sanders,NA,Oregon,Hillary Clinton,1948,Prefer not to say,Barack Obama,68,NA
In the Democratic primary,Bernie Sanders,NA,Virginia,Hillary Clinton,1970,Prefer not to say,Barack Obama,46,NA
"No, not in either",NA,NA,Washington,Donald Trump,1962,Prefer not to say,Mitt Romney,54,NA
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1956,"$150,000 or more",Barack Obama,60,150000
In the Democratic primary,Hillary Clinton,NA,Texas,Hillary Clinton,1971,Prefer not to say,Barack Obama,45,NA
In the Democratic primary,Hillary Clinton,NA,Illinois,Hillary Clinton,1972,"$80,000 - $99,999",Barack Obama,44,80000
In the Democratic primary,Bernie Sanders,NA,Illinois,Hillary Clinton,1956,"$150,000 or more",Barack Obama,60,150000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1931,"$30,000 - $39,999",Mitt Romney,85,30000
In the Democratic primary,Hillary Clinton,NA,Arizona,Hillary Clinton,1932,"$10,000 - $19,999",Barack Obama,84,10000
In the Democratic primary,Bernie Sanders,NA,Ohio,Hillary Clinton,1957,"$150,000 or more",Barack Obama,59,150000
In the Republican primary,NA,John Kasich,Massachusetts,Hillary Clinton,1955,"$80,000 - $99,999",Barack Obama,61,80000
In the Republican primary,NA,Ted Cruz,New York,Other,1981,"$80,000 - $99,999",Mitt Romney,35,80000
In the Democratic primary,Bernie Sanders,NA,Oregon,Hillary Clinton,1960,"$100,000 - $119,999",Barack Obama,56,100000
In the Democratic primary,Bernie Sanders,NA,Illinois,Hillary Clinton,1954,"$50,000 - $59,999",Barack Obama,62,50000
In the Democratic primary,Hillary Clinton,NA,Arizona,Hillary Clinton,1961,"$50,000 - $59,999",Barack Obama,55,50000
In the Republican primary,NA,John Kasich,Connecticut,Other,1956,"$60,000 - $69,999",I did not vote in this race,60,60000
In the Republican primary,NA,Donald Trump,Michigan,Donald Trump,1954,"$60,000 - $69,999",Mitt Romney,62,60000
In the Democratic primary,Someone else,NA,Oklahoma,Donald Trump,1962,"$100,000 - $119,999",Mitt Romney,54,100000
In the Republican primary,NA,Donald Trump,Kentucky,Donald Trump,1956,"$150,000 or more",Mitt Romney,60,150000
